certification_no,plan_date,insurer,plan_name,plan_level_raw,geographical_coverage,geo_tier,ward_restriction,ward_tier,provider_restriction,has_deductible,deductible_amount,coinsurance_pct,cost_tier,lifetime_benefit_limit,lifetime_tier,annual_benefit_limit,room_board_per_day,misc_charges_limit,surgeon_complex_limit,psychiatric_limit,no_sublimits,schedule_tier,overall_tier,fields_missing,scrape_status,source_url
F00076-07-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Silver level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,25000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-07-000-02-PlanDoc-e.pdf
F00076-08-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Silver level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,25000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-08-000-02-PlanDoc-e.pdf
F00076-09-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,Gold level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,30000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-09-000-02-PlanDoc-e.pdf
F00076-10-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Gold level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,30000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-10-000-02-PlanDoc-e.pdf
F00076-11-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Gold level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,30000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-11-000-02-PlanDoc-e.pdf
F00076-12-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Gold level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,30000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-12-000-02-PlanDoc-e.pdf
F00076-13-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,Diamond level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,40000000,,,,50000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-13-000-02-PlanDoc-e.pdf
F00076-14-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Diamond level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,40000000,,,,50000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-14-000-02-PlanDoc-e.pdf
F00076-15-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Diamond level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,40000000,,,,50000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-15-000-02-PlanDoc-e.pdf
F00076-16-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Diamond level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,40000000,,,,50000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-16-000-02-PlanDoc-e.pdf
F00076-17-000-01,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,Platinum level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,35000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-17-000-01-PlanDoc-e.pdf
F00076-18-000-01,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Platinum level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,35000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-18-000-01-PlanDoc-e.pdf
F00076-19-000-01,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Platinum level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,35000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-19-000-01-PlanDoc-e.pdf
F00076-20-000-01,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Platinum level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,35000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-20-000-01-PlanDoc-e.pdf
